,0
1,0.007686964583940359
2,0.0037470168291999784
3,0.004323451588328808
4,0.011313184364465378
5,0.0
6,0.0
7,0.0
8,0.027630064966757573
9,0.04006479328112267
10,0.0012899660052658746
11,0.0
12,0.03870722011992722
13,0.0031577787469387886
14,0.0
15,0.012554607477682111
16,0.0
17,0.0
18,0.004176505958406018
19,0.021086649477238595
20,0.0
21,0.002330315479194267
22,0.01661716499002086
23,0.012967797649880097
24,0.03925431761828024
25,0.005875982224708309
26,0.0
27,0.010955857122265655
28,0.008611044107351695
29,0.006242944954785834
30,0.0039249786569710565
32,0.016821777989846964
33,0.002368966578606191
34,0.0
35,0.012987141994144302
36,0.0002877392207691898
37,0.0
